epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.8368,1.7303,3.53459,1.54745,0.02026,0.79624,0.26567,0.119,1.50659,3.50811,1.29224,0.000326241,0.000326241,0.000326241
2,99.7782,1.53651,2.38034,1.38362,0.34664,0.41214,0.3955,0.20958,1.45295,2.50114,1.34577,0.000646515,0.000646515,0.000646515
3,145.275,1.45264,1.94039,1.32499,0.60339,0.61716,0.60398,0.31765,1.47453,1.925,1.39475,0.000953589,0.000953589,0.000953589
4,229.381,1.42834,1.73779,1.32826,0.62588,0.68325,0.69188,0.37405,1.47699,1.7183,1.42951,0.0009406,0.0009406,0.0009406
5,318.401,1.40204,1.58162,1.29761,0.71473,0.66918,0.72975,0.38307,1.5315,1.60874,1.44049,0.0009208,0.0009208,0.0009208
6,366.413,1.35408,1.46557,1.2669,0.68358,0.71063,0.74834,0.41573,1.43513,1.55654,1.36966,0.000901,0.000901,0.000901
7,414.724,1.35914,1.38685,1.28404,0.81945,0.76498,0.84901,0.47542,1.40328,1.38384,1.35873,0.0008812,0.0008812,0.0008812
8,500.515,1.32389,1.29183,1.25986,0.84619,0.81235,0.87569,0.49387,1.43807,1.19833,1.34024,0.0008614,0.0008614,0.0008614
9,594.208,1.31451,1.25445,1.25192,0.87974,0.81118,0.90158,0.52463,1.36297,1.15506,1.29762,0.0008416,0.0008416,0.0008416
10,642.368,1.29767,1.17297,1.23874,0.87671,0.81296,0.89283,0.51932,1.39479,1.10536,1.33769,0.0008218,0.0008218,0.0008218
11,687.339,1.27745,1.12793,1.22519,0.85019,0.88013,0.91903,0.53511,1.37831,1.04377,1.34119,0.000802,0.000802,0.000802
12,771.139,1.26644,1.09838,1.22539,0.89145,0.84332,0.91986,0.54525,1.34586,1.00559,1.32473,0.0007822,0.0007822,0.0007822
